sl no,brand,country,state,city,top speed kmh,battery capacity kWh,battery type,efficiency wh per km,range km,fast charging power kw dc,fast charge port,seats,drivetrain,electric vehicle type,safety rating,cost
7755,Tata,Germany,Hesse,Frankfurt,183,129.9,NiMH,200.6,668,150,Tesla Supercharger,2,RWD,PHEV,4.5,166402
7756,BYD,UK,England,Birmingham,183,76.5,NiMH,190.3,659,177,CHAdeMO,6,RWD,PHEV,4.4,154547
7757,Kia,UK,England,Birmingham,180,158.4,NiMH,172.6,709,229,CCS,5,FWD,PHEV,4.2,161901
7758,Nissan,Australia,Queensland,Brisbane,201,144.2,Solid-State,182.6,789,292,CCS,4,FWD,BEV,4,181419
7759,BYD,India,Tamil Nadu,Chennai,284,163.3,Solid-State,188.4,528,286,Tesla Supercharger,5,RWD,BEV,3.5,156476
7760,Nissan,UK,England,Manchester,193,76,Solid-State,216.2,652,253,Tesla Supercharger,6,FWD,PHEV,4.7,165942
7761,Kia,Germany,Hesse,Frankfurt,250,120.2,NiMH,216.6,586,169,CHAdeMO,7,RWD,PHEV,3.2,167999
7762,Tata,France,Provence-Alpes-Côte d'Azur,Marseille,233,174,Solid-State,200,639,112,Tesla Supercharger,7,FWD,BEV,4.7,175681
7763,BMW,Germany,Hesse,Frankfurt,195,121.4,Solid-State,176.1,715,249,CCS,4,FWD,BEV,4.3,179971
7764,BMW,France,Île-de-France,Paris,279,157.5,Solid-State,169.6,514,119,CHAdeMO,4,FWD,BEV,3.1,181103
7765,BYD,Germany,Berlin,Berlin,192,117.3,Solid-State,164.4,599,162,CHAdeMO,4,FWD,BEV,3.2,171787
7766,Hyundai,USA,CA,Los Angeles,195,141.4,NiMH,189,517,313,CCS,4,RWD,BEV,3.2,190677
7767,Volkswagen,UK,England,Manchester,220,121.9,Solid-State,160.5,502,276,CCS,7,FWD,PHEV,4.7,197905
7768,Tata,Germany,Berlin,Berlin,288,110.2,Solid-State,175.4,611,300,Tesla Supercharger,6,FWD,PHEV,3.6,172296
7769,BYD,India,Tamil Nadu,Chennai,194,84.8,Solid-State,213.9,782,215,CCS,4,RWD,BEV,4.8,195297
7770,BMW,India,Delhi,Delhi,259,100.9,Solid-State,211.7,779,338,Tesla Supercharger,4,RWD,BEV,3.4,153428
7771,Nissan,Germany,Berlin,Berlin,265,158.6,Solid-State,182.5,609,145,CHAdeMO,2,FWD,PHEV,3.4,169548
7772,Tata,UK,England,London,198,155.2,Solid-State,213,545,156,CCS,2,RWD,PHEV,4.5,150854
7773,Hyundai,France,Provence-Alpes-Côte d'Azur,Marseille,201,185.8,NiMH,200.8,551,291,CCS,6,RWD,BEV,4.6,170689
7774,BYD,Australia,Queensland,Brisbane,232,165.8,Solid-State,170.8,549,185,CCS,7,RWD,PHEV,3.9,191099
7775,Hyundai,USA,CA,Los Angeles,185,149.9,NiMH,165,673,153,Tesla Supercharger,2,RWD,PHEV,4.6,145085
7776,Tata,France,Provence-Alpes-Côte d'Azur,Marseille,279,79.7,NiMH,161.6,665,303,CHAdeMO,2,RWD,BEV,4.1,167057
7777,BMW,UK,England,Manchester,209,171.6,NiMH,186.2,751,112,Tesla Supercharger,2,FWD,PHEV,3.8,183245
7778,Tata,India,Delhi,Delhi,299,136.3,NiMH,179.7,503,121,CHAdeMO,4,RWD,PHEV,3.5,187519
7779,Hyundai,Germany,Hesse,Frankfurt,252,73.4,Solid-State,167.8,684,127,CCS,4,FWD,BEV,3.9,152808
7780,BYD,Australia,Victoria,Melbourne,183,79.5,Solid-State,181.8,591,177,CCS,6,RWD,PHEV,4.3,194520
7781,Kia,India,Tamil Nadu,Chennai,189,163.5,NiMH,162.9,701,169,Tesla Supercharger,5,RWD,PHEV,4.9,181337
7782,Hyundai,South Korea,Seoul,Seoul,294,194.2,NiMH,209.8,729,288,Tesla Supercharger,7,FWD,PHEV,4.1,145259
7783,Volkswagen,Germany,Hesse,Frankfurt,246,85.7,Solid-State,214.8,551,292,CHAdeMO,5,RWD,PHEV,3.9,167269
7784,Hyundai,USA,IL,Chicago,214,143.4,Solid-State,165.8,519,245,CCS,2,RWD,PHEV,3.2,198949
7785,Kia,UK,England,Manchester,282,75.2,Solid-State,199.9,784,101,CHAdeMO,5,FWD,BEV,3.9,183064
7786,Kia,Germany,Bavaria,Munich,204,164.7,Solid-State,197,680,262,Tesla Supercharger,4,RWD,PHEV,4.6,163642
7787,Nissan,South Korea,Incheon,Incheon,202,197.2,Solid-State,197.2,597,155,Tesla Supercharger,5,RWD,BEV,3.3,199057
7788,Kia,India,Delhi,Delhi,258,101.5,NiMH,200,600,282,Tesla Supercharger,7,RWD,PHEV,3.5,184389
7789,BYD,UK,England,London,251,100.2,NiMH,207.8,677,133,Tesla Supercharger,4,FWD,PHEV,4.3,166559
7790,Nissan,Germany,Berlin,Berlin,211,113.4,Solid-State,209.8,659,329,CCS,6,FWD,PHEV,3.8,156111
7791,BMW,India,Delhi,Delhi,213,159.9,Solid-State,165.5,703,276,CCS,5,RWD,BEV,3.8,192409
7792,BYD,Australia,Queensland,Brisbane,233,93.7,Solid-State,171.7,735,108,CHAdeMO,5,RWD,BEV,4.5,197935
7793,Hyundai,South Korea,Busan,Busan,214,183.3,Solid-State,165,553,219,CHAdeMO,5,RWD,PHEV,4,158928
7794,Volkswagen,Germany,Berlin,Berlin,250,139.1,NiMH,170.8,653,196,CCS,7,FWD,BEV,4.2,148062
7795,Kia,UK,England,Manchester,242,153.4,Solid-State,214.1,698,173,CCS,7,RWD,PHEV,4.5,161181
7796,BYD,Germany,Hesse,Frankfurt,259,138.7,NiMH,182.5,791,307,CCS,5,FWD,PHEV,3.6,147813
7797,Volkswagen,India,Karnataka,Bangalore,189,173.6,Solid-State,211.4,745,326,Tesla Supercharger,4,FWD,PHEV,4.6,176549
7798,Tata,Germany,Bavaria,Munich,274,95.6,Solid-State,161.5,757,123,CCS,5,RWD,PHEV,4.1,184600
7799,Hyundai,Australia,Victoria,Melbourne,219,96.7,Solid-State,219.3,536,335,CHAdeMO,6,FWD,PHEV,3.2,141735
7800,Volkswagen,UK,England,Birmingham,232,101.5,NiMH,214.8,552,325,CCS,2,RWD,BEV,3.8,140586
7801,Kia,UK,England,London,278,104.6,Solid-State,181,504,126,CCS,4,RWD,BEV,3.2,142890
7802,Kia,USA,IL,Chicago,186,94.3,NiMH,169.9,777,206,Tesla Supercharger,4,FWD,BEV,4.1,198232
7803,Volkswagen,USA,IL,Chicago,269,150.2,NiMH,168.5,518,317,CHAdeMO,7,RWD,PHEV,4,157122
7804,BMW,Germany,Berlin,Berlin,262,78.8,Solid-State,176.7,638,134,CHAdeMO,6,FWD,BEV,4.7,151113
7805,Kia,Germany,Hesse,Frankfurt,248,189.3,Solid-State,203.1,681,248,CHAdeMO,4,RWD,PHEV,3.9,161211
7806,Volkswagen,South Korea,Busan,Busan,235,97.7,NiMH,202.1,757,143,Tesla Supercharger,4,FWD,PHEV,4,170751
7807,Volkswagen,South Korea,Incheon,Incheon,248,180.3,Solid-State,183.4,722,104,CHAdeMO,5,FWD,BEV,4.2,187825
7808,BMW,South Korea,Incheon,Incheon,220,70.6,NiMH,209,617,245,CCS,4,RWD,BEV,4.7,174782
7809,BYD,India,Tamil Nadu,Chennai,260,195.3,NiMH,203,714,154,CHAdeMO,5,RWD,PHEV,3.7,145366
7810,BMW,Australia,New South Wales,Sydney,187,81.5,NiMH,167.8,584,269,CCS,6,RWD,BEV,4.1,197438
7811,Kia,Australia,New South Wales,Sydney,215,114.9,NiMH,163.7,678,301,Tesla Supercharger,4,RWD,BEV,3.7,192501
7812,Nissan,India,Maharashtra,Mumbai,278,128.9,NiMH,162.3,728,285,CHAdeMO,5,RWD,PHEV,4.8,156515
7813,Kia,France,Provence-Alpes-Côte d'Azur,Marseille,273,115.8,Solid-State,179.8,587,143,CHAdeMO,7,RWD,BEV,3.2,172228
7814,Kia,Australia,Victoria,Melbourne,201,180.8,NiMH,195.3,589,259,CHAdeMO,7,RWD,BEV,4.6,166044
7815,Volkswagen,UK,England,Manchester,291,146,Solid-State,168.5,614,270,Tesla Supercharger,5,RWD,BEV,3.1,157185
7816,Tata,Australia,New South Wales,Sydney,253,162.9,Solid-State,177,712,244,Tesla Supercharger,5,RWD,PHEV,3.1,153219
7817,Kia,South Korea,Incheon,Incheon,241,118.8,Solid-State,180,645,206,CCS,5,FWD,BEV,3,143902
7818,Hyundai,France,Auvergne-Rhône-Alpes,Lyon,182,121.7,Solid-State,172.3,708,119,CCS,7,RWD,BEV,3.9,174162
7819,Nissan,Germany,Hesse,Frankfurt,295,115.4,Solid-State,199.5,759,110,CHAdeMO,2,FWD,PHEV,3.1,156070
7820,Kia,Germany,Hesse,Frankfurt,266,100.1,NiMH,177.5,544,235,Tesla Supercharger,5,FWD,PHEV,3.1,151844
7821,Volkswagen,South Korea,Seoul,Seoul,257,189.3,Solid-State,173.4,783,238,CCS,4,FWD,BEV,4.9,171819
7822,Nissan,South Korea,Incheon,Incheon,243,192.1,NiMH,187.3,713,187,CHAdeMO,6,RWD,PHEV,3.7,198040
7823,Tata,USA,CA,Los Angeles,295,195.2,Solid-State,196.8,628,151,CHAdeMO,2,FWD,PHEV,4.2,177630
7824,Hyundai,India,Karnataka,Bangalore,210,176.9,Solid-State,171.5,627,148,Tesla Supercharger,2,FWD,BEV,3.6,182914
7825,Tata,France,Auvergne-Rhône-Alpes,Lyon,275,172.1,NiMH,161.4,692,164,CCS,6,FWD,PHEV,3.9,187009
7826,Volkswagen,USA,IL,Chicago,195,167,NiMH,178.3,759,222,CHAdeMO,4,FWD,BEV,4.5,156710
7827,Nissan,South Korea,Seoul,Seoul,269,184.2,NiMH,175,589,249,CHAdeMO,2,RWD,PHEV,4.8,162601
7828,BMW,Germany,Hesse,Frankfurt,200,99.8,NiMH,190.4,605,216,CHAdeMO,2,FWD,BEV,4.1,174781
7829,BYD,Australia,Queensland,Brisbane,294,81,NiMH,209.8,683,343,CCS,6,RWD,BEV,4.5,185900
7830,Tata,France,Auvergne-Rhône-Alpes,Lyon,287,176.1,NiMH,219.9,721,164,CHAdeMO,4,FWD,BEV,3.5,164274
7831,Kia,Germany,Bavaria,Munich,199,197.2,NiMH,189.7,687,184,CHAdeMO,6,FWD,PHEV,4.5,179263
7832,Kia,South Korea,Busan,Busan,185,86.2,NiMH,182.5,522,291,Tesla Supercharger,4,RWD,PHEV,4.8,188686
7833,Volkswagen,Germany,Hesse,Frankfurt,183,77.4,NiMH,200,736,223,Tesla Supercharger,2,RWD,PHEV,3.1,156265
7834,BMW,USA,Seattle,Washington,208,156.3,Solid-State,204.8,800,258,CCS,2,RWD,PHEV,3.6,151631
7835,Tata,UK,England,Manchester,262,93.3,Solid-State,212.2,787,293,CHAdeMO,6,RWD,BEV,3.8,197967
7836,BYD,UK,England,Birmingham,188,115.2,NiMH,166.6,666,193,CHAdeMO,6,FWD,PHEV,5,177071
7837,Volkswagen,Germany,Bavaria,Munich,210,120.4,NiMH,198.4,674,245,CHAdeMO,5,FWD,BEV,4.7,144702
7838,BYD,Germany,Berlin,Berlin,222,124,Solid-State,171.2,633,332,CHAdeMO,2,FWD,PHEV,3.1,148431
7839,Volkswagen,USA,CA,Los Angeles,270,125.9,NiMH,210.7,659,242,Tesla Supercharger,6,RWD,PHEV,4.1,194216
7840,BYD,France,Provence-Alpes-Côte d'Azur,Marseille,232,166.1,Solid-State,194.3,614,114,CHAdeMO,4,RWD,PHEV,4.4,165472
7841,Hyundai,France,Île-de-France,Paris,277,115.2,Solid-State,185.3,568,160,CCS,2,FWD,PHEV,4.2,187086
7842,BMW,Australia,New South Wales,Sydney,242,120.8,Solid-State,205.2,546,246,Tesla Supercharger,6,FWD,BEV,4.7,163777
7843,Hyundai,South Korea,Busan,Busan,283,120.5,NiMH,207.3,588,149,CCS,6,FWD,PHEV,3.4,188293
7844,Nissan,India,Tamil Nadu,Chennai,227,120.9,NiMH,170,766,179,CCS,2,RWD,BEV,3.4,188791
7845,Hyundai,Germany,Bavaria,Munich,182,98.3,Solid-State,178.5,768,144,Tesla Supercharger,6,RWD,BEV,4.5,161291
7846,Volkswagen,Germany,Hesse,Frankfurt,209,172.3,NiMH,164.9,785,231,Tesla Supercharger,4,FWD,BEV,4.4,168132
7847,Volkswagen,Australia,Queensland,Brisbane,272,145.7,NiMH,218,534,243,CHAdeMO,4,FWD,BEV,4.3,150720
7848,Nissan,France,Île-de-France,Paris,242,173.4,Solid-State,208.6,607,263,CHAdeMO,6,RWD,PHEV,4.3,180414
7849,Hyundai,India,Tamil Nadu,Chennai,244,79.6,Solid-State,169.5,667,248,Tesla Supercharger,5,RWD,BEV,5,172200
7850,Volkswagen,France,Île-de-France,Paris,202,156.8,NiMH,219.3,515,313,CCS,6,RWD,BEV,4.3,147055
7851,Hyundai,South Korea,Seoul,Seoul,270,102.6,NiMH,167.6,729,343,Tesla Supercharger,5,RWD,PHEV,3.1,192837
7852,Hyundai,Australia,Queensland,Brisbane,186,118,NiMH,193.3,733,302,CCS,4,RWD,PHEV,4.7,180801
7853,BYD,India,Delhi,Delhi,225,90.8,Solid-State,190.5,586,332,CCS,2,RWD,PHEV,3.9,167109
7854,Hyundai,India,Delhi,Delhi,231,164.4,NiMH,211.4,725,205,CHAdeMO,4,FWD,PHEV,3.2,177191
7855,Volkswagen,South Korea,Busan,Busan,214,162.1,Solid-State,213.4,567,244,CHAdeMO,7,RWD,BEV,4.3,188803
7856,Volkswagen,Australia,Victoria,Melbourne,289,111.6,NiMH,210,709,321,CHAdeMO,2,FWD,PHEV,3.7,162278
7857,Volkswagen,USA,NY,New York,294,145.7,Solid-State,201.8,677,284,CHAdeMO,6,FWD,PHEV,4.9,189597
7858,Nissan,France,Île-de-France,Paris,283,72,Solid-State,194.8,645,122,CCS,6,FWD,BEV,4.1,161442
7859,Nissan,South Korea,Seoul,Seoul,184,161.7,NiMH,192.1,724,134,CCS,4,FWD,BEV,4.1,175987
7860,Hyundai,USA,NY,New York,181,168.6,NiMH,183.8,744,209,CCS,6,FWD,PHEV,3.4,190747
7861,Nissan,India,Maharashtra,Mumbai,226,124.7,Solid-State,187.6,551,248,Tesla Supercharger,2,RWD,PHEV,4,158808
7862,BYD,Australia,New South Wales,Sydney,232,133.6,Solid-State,179.1,700,309,CHAdeMO,4,FWD,PHEV,4.5,140369
7863,Tata,France,Provence-Alpes-Côte d'Azur,Marseille,214,198.4,NiMH,204.8,623,283,Tesla Supercharger,2,RWD,PHEV,4.1,143809
7864,Tata,Australia,New South Wales,Sydney,207,197.5,Solid-State,218.1,590,208,CHAdeMO,4,RWD,BEV,4.4,176932
7865,Tata,India,Delhi,Delhi,181,180.4,NiMH,183.2,661,255,CHAdeMO,2,FWD,BEV,4.9,142288
7866,BYD,UK,England,London,244,192,NiMH,183.5,618,261,CHAdeMO,6,RWD,BEV,4.6,181695
7867,BMW,USA,IL,Chicago,206,84,NiMH,216.8,693,227,CCS,7,FWD,BEV,4.9,162947
7868,Volkswagen,India,Maharashtra,Mumbai,249,152.9,Solid-State,181.5,534,126,CCS,7,FWD,PHEV,4.7,140943
7869,Hyundai,France,Auvergne-Rhône-Alpes,Lyon,264,145.1,Solid-State,209.5,660,244,CHAdeMO,7,FWD,BEV,4.5,149143
7870,BYD,Germany,Hesse,Frankfurt,270,128.2,NiMH,219.2,699,318,CHAdeMO,2,RWD,PHEV,4.8,194888
7871,Kia,USA,CA,Los Angeles,286,110.3,Solid-State,193.9,740,240,CCS,7,RWD,BEV,3,146548
7872,Nissan,France,Île-de-France,Paris,210,90.9,Solid-State,198,729,280,CCS,4,RWD,BEV,4.8,170927
7873,Tata,USA,IL,Chicago,251,80.4,NiMH,167,614,311,CCS,2,RWD,BEV,3.7,194342
7874,Kia,UK,England,Manchester,237,134.1,Solid-State,219.3,786,241,Tesla Supercharger,4,FWD,BEV,4.1,169092
7875,Tata,India,Tamil Nadu,Chennai,184,116.5,Solid-State,174.3,506,153,CHAdeMO,2,RWD,PHEV,3.2,197141
7876,Tata,South Korea,Seoul,Seoul,277,147.6,Solid-State,182.7,674,292,CHAdeMO,2,FWD,PHEV,4,156958
7877,BMW,South Korea,Busan,Busan,268,166.9,NiMH,173.7,682,295,CCS,5,RWD,PHEV,4.4,193975
7878,Hyundai,France,Provence-Alpes-Côte d'Azur,Marseille,289,112,NiMH,199.3,793,347,CCS,2,RWD,BEV,3.6,168362
7879,Kia,UK,England,London,209,140.6,NiMH,164.5,735,209,CHAdeMO,6,RWD,PHEV,3.1,167112
7880,BMW,Australia,Queensland,Brisbane,257,140.8,Solid-State,219.5,798,157,CHAdeMO,6,RWD,BEV,4.5,160974
7881,BMW,France,Auvergne-Rhône-Alpes,Lyon,211,189.8,NiMH,204.8,676,196,CCS,4,FWD,BEV,3.5,180872
7882,Tata,India,Maharashtra,Mumbai,278,111.7,Solid-State,180.3,662,321,CHAdeMO,6,FWD,BEV,4.6,153272
7883,Tata,Australia,New South Wales,Sydney,266,166.1,Solid-State,187.8,693,128,Tesla Supercharger,7,RWD,PHEV,4.2,170323
7884,Nissan,South Korea,Busan,Busan,233,164,Solid-State,217.2,610,261,CHAdeMO,2,FWD,PHEV,4.3,158291
7885,Kia,UK,England,Birmingham,236,167.8,Solid-State,184.8,549,246,CCS,2,FWD,PHEV,3.2,192047
7886,Volkswagen,South Korea,Seoul,Seoul,208,88.1,Solid-State,212,700,147,CHAdeMO,4,RWD,PHEV,3.5,164120
7887,Kia,India,Delhi,Delhi,249,149.7,NiMH,192.3,771,327,CCS,2,RWD,BEV,3.7,154723
7888,Hyundai,USA,CA,Los Angeles,244,89.6,NiMH,171.4,655,322,Tesla Supercharger,2,RWD,PHEV,3.7,146570
7889,BYD,UK,England,Birmingham,271,126.8,Solid-State,165.5,575,299,Tesla Supercharger,5,FWD,BEV,4.7,166724
7890,Nissan,France,Auvergne-Rhône-Alpes,Lyon,217,194.9,Solid-State,177.9,697,112,Tesla Supercharger,7,FWD,BEV,4.7,175676
7891,BYD,UK,England,London,256,172.9,NiMH,183.7,609,200,CCS,2,RWD,BEV,4.7,159235
7892,BMW,UK,England,London,240,90.5,NiMH,218,577,231,CCS,4,FWD,PHEV,4.2,173788
7893,Kia,Australia,Victoria,Melbourne,293,156.8,NiMH,194.3,546,210,CCS,5,FWD,BEV,4.9,144001
7894,BMW,South Korea,Incheon,Incheon,229,123.6,NiMH,185.9,573,234,CHAdeMO,5,RWD,PHEV,4.5,174958
7895,Nissan,South Korea,Busan,Busan,258,188.8,NiMH,169.1,794,190,CCS,2,FWD,PHEV,3.2,165077
7896,Volkswagen,South Korea,Busan,Busan,185,166.2,Solid-State,171,699,328,CCS,5,RWD,BEV,3.9,180139
7897,Hyundai,South Korea,Busan,Busan,245,177.8,Solid-State,214.5,694,328,CCS,5,RWD,PHEV,3.8,172217
7898,Tata,France,Provence-Alpes-Côte d'Azur,Marseille,220,198.3,Solid-State,210.9,575,332,CCS,6,RWD,PHEV,3.3,153858
7899,BYD,Australia,Queensland,Brisbane,204,115.1,NiMH,210.8,507,217,CCS,2,FWD,BEV,4.2,164566
7900,Hyundai,USA,CA,Los Angeles,264,155.6,NiMH,198.3,515,315,CHAdeMO,6,RWD,PHEV,3.5,154573
7901,Kia,South Korea,Seoul,Seoul,195,135,Solid-State,175.3,794,294,CHAdeMO,5,RWD,BEV,4.1,192405
7902,Volkswagen,Australia,Queensland,Brisbane,201,108.1,Solid-State,169.4,592,229,Tesla Supercharger,7,FWD,BEV,3.1,178437
7903,Tata,Australia,Queensland,Brisbane,197,84.4,NiMH,212.4,780,100,CCS,4,RWD,BEV,3.7,142981
7904,Kia,Australia,Victoria,Melbourne,187,132,Solid-State,219.2,569,171,Tesla Supercharger,7,FWD,PHEV,3.5,156191
7905,Kia,Australia,Queensland,Brisbane,201,117.5,Solid-State,189.2,703,308,CCS,4,FWD,PHEV,3.1,199807
7906,Nissan,South Korea,Seoul,Seoul,262,121.1,NiMH,172.6,799,251,CHAdeMO,4,RWD,BEV,3.4,141723
7907,Volkswagen,France,Auvergne-Rhône-Alpes,Lyon,212,176.7,NiMH,193.4,625,312,CCS,7,FWD,BEV,3.7,143750
7908,Volkswagen,Australia,Victoria,Melbourne,245,181.1,Solid-State,180.1,514,314,CHAdeMO,2,FWD,PHEV,3.3,143889
7909,Nissan,France,Île-de-France,Paris,212,107.6,NiMH,194.3,618,245,CCS,2,RWD,PHEV,4.7,140647
7910,Volkswagen,USA,CA,Los Angeles,212,116.4,NiMH,214.9,771,201,CHAdeMO,6,FWD,PHEV,4.2,166532
7911,Nissan,UK,England,London,197,98.5,NiMH,203.8,649,317,CHAdeMO,5,FWD,BEV,4.1,152645
7912,BYD,UK,England,Birmingham,206,135.1,Solid-State,181.3,567,302,Tesla Supercharger,7,RWD,BEV,4.2,190706
7913,Nissan,India,Delhi,Delhi,182,87.8,NiMH,189,725,195,CCS,6,RWD,BEV,3.4,188533
7914,Hyundai,USA,Seattle,Washington,231,131.1,Solid-State,187.6,576,166,Tesla Supercharger,7,FWD,BEV,4,198091
7915,BYD,India,Maharashtra,Mumbai,286,184.3,Solid-State,205.4,612,102,CCS,7,RWD,PHEV,3.3,185756
7916,BMW,Australia,Victoria,Melbourne,246,155,NiMH,171.3,786,314,CHAdeMO,4,RWD,BEV,3.2,180593
7917,Nissan,Australia,Queensland,Brisbane,286,163.6,NiMH,218.7,639,286,CHAdeMO,4,RWD,PHEV,4.5,180367
7918,Nissan,USA,Seattle,Washington,248,78.8,NiMH,181.9,699,350,CHAdeMO,7,RWD,PHEV,3.2,142052
7919,Kia,South Korea,Seoul,Seoul,267,102.6,NiMH,188.2,705,238,Tesla Supercharger,7,FWD,BEV,3.6,147176
7920,Nissan,South Korea,Incheon,Incheon,293,110.8,NiMH,213.4,516,221,Tesla Supercharger,4,FWD,PHEV,4.3,192551
7921,BYD,USA,Seattle,Washington,255,83.1,NiMH,190.4,592,159,CHAdeMO,4,RWD,BEV,3.5,196296
7922,BYD,India,Tamil Nadu,Chennai,297,162.8,NiMH,216,556,340,CCS,6,RWD,BEV,4.1,144369
7923,Kia,France,Île-de-France,Paris,278,146.3,Solid-State,170,751,294,Tesla Supercharger,7,RWD,PHEV,4.2,184156
7924,BYD,France,Île-de-France,Paris,292,122.6,NiMH,166,678,273,Tesla Supercharger,5,RWD,BEV,3.1,192088
7925,Nissan,India,Maharashtra,Mumbai,295,124.1,Solid-State,191.8,688,244,CHAdeMO,6,FWD,PHEV,4.5,194696
7926,BYD,India,Karnataka,Bangalore,270,189.9,Solid-State,176.3,656,100,CCS,2,RWD,PHEV,3.8,149764
7927,BMW,Germany,Berlin,Berlin,273,125,Solid-State,186.7,748,140,Tesla Supercharger,6,FWD,PHEV,4.5,160021
7928,Hyundai,Germany,Bavaria,Munich,275,104.8,NiMH,194.5,576,329,CHAdeMO,2,RWD,PHEV,3.8,194002
7929,Nissan,India,Karnataka,Bangalore,273,192.2,NiMH,210.2,624,344,Tesla Supercharger,6,FWD,PHEV,3.4,178467
7930,Hyundai,South Korea,Incheon,Incheon,225,154.2,Solid-State,207.8,753,217,CCS,7,RWD,PHEV,3,181627
7931,Tata,USA,Seattle,Washington,298,99.2,Solid-State,175.4,580,189,CHAdeMO,2,FWD,BEV,4.8,166804
7932,Kia,South Korea,Busan,Busan,243,130.4,Solid-State,188.8,500,212,CCS,4,RWD,PHEV,3.2,168178
7933,Tata,Germany,Hesse,Frankfurt,181,123.4,NiMH,170.7,734,140,Tesla Supercharger,7,FWD,BEV,4,181227
7934,Volkswagen,USA,Seattle,Washington,232,130,Solid-State,216,585,317,CHAdeMO,2,FWD,PHEV,3.5,144709
7935,Hyundai,UK,England,Birmingham,253,78.7,NiMH,219.7,639,326,CHAdeMO,4,RWD,PHEV,3.8,170631
7936,Volkswagen,France,Île-de-France,Paris,185,158.7,NiMH,197.2,700,277,CCS,5,RWD,BEV,3.8,144238
7937,BMW,Germany,Bavaria,Munich,269,151.1,NiMH,173.6,569,139,Tesla Supercharger,2,RWD,PHEV,3.8,161166
7938,Tata,India,Delhi,Delhi,209,165.7,Solid-State,176.7,558,277,CHAdeMO,7,RWD,BEV,4.4,172805
7939,BMW,South Korea,Busan,Busan,239,141.5,Solid-State,181.9,534,161,Tesla Supercharger,2,RWD,BEV,3.2,164783
7940,Kia,Australia,Victoria,Melbourne,251,168.4,NiMH,177.8,670,313,CHAdeMO,4,RWD,BEV,3.1,140729
7941,Volkswagen,South Korea,Busan,Busan,226,197.6,Solid-State,181.9,580,259,CHAdeMO,2,RWD,PHEV,3.6,148303
7942,Tata,Australia,New South Wales,Sydney,298,157.6,NiMH,199.3,662,243,CHAdeMO,7,FWD,PHEV,3.9,142293
7943,Hyundai,UK,England,Birmingham,222,156.5,Solid-State,182,747,304,Tesla Supercharger,6,RWD,BEV,3.9,174143
7944,Hyundai,India,Karnataka,Bangalore,188,178.6,Solid-State,187.3,601,168,CHAdeMO,5,FWD,PHEV,3.8,150453
7945,Tata,USA,CA,Los Angeles,233,169.2,NiMH,176.6,692,119,CHAdeMO,4,RWD,BEV,4.6,148356
7946,Kia,Australia,Queensland,Brisbane,213,187.4,NiMH,162.3,761,124,CCS,2,RWD,BEV,3.3,187221
7947,BYD,UK,England,London,251,139.6,Solid-State,206.5,784,253,Tesla Supercharger,5,FWD,BEV,4.6,198605
7948,BMW,UK,England,Birmingham,242,168,Solid-State,160.5,507,233,CCS,5,FWD,BEV,4.1,157548
7949,Hyundai,USA,CA,Los Angeles,216,162.6,Solid-State,180.4,517,241,Tesla Supercharger,2,FWD,BEV,3.7,182046
7950,Kia,France,Provence-Alpes-Côte d'Azur,Marseille,264,126.2,Solid-State,198.1,554,299,CCS,2,FWD,PHEV,4.1,167395
7951,Volkswagen,USA,CA,Los Angeles,189,90.9,NiMH,214.3,729,312,CHAdeMO,5,FWD,BEV,4.4,187453
7952,BYD,South Korea,Busan,Busan,247,182.3,NiMH,206.6,526,217,CHAdeMO,7,RWD,PHEV,4.2,195524
7953,BMW,Germany,Bavaria,Munich,290,145.2,Solid-State,174.7,540,285,CHAdeMO,6,RWD,PHEV,4,199081
7954,Kia,Australia,New South Wales,Sydney,233,120.8,NiMH,211,762,261,CCS,4,FWD,PHEV,4.7,159870
7955,BYD,Germany,Hesse,Frankfurt,266,168,NiMH,199,703,169,CHAdeMO,2,RWD,PHEV,3.4,198175
7956,Kia,Germany,Berlin,Berlin,208,73,Solid-State,219.6,782,334,CHAdeMO,6,RWD,PHEV,3.2,154258
7957,Tata,South Korea,Incheon,Incheon,284,179.2,NiMH,189.4,664,239,CHAdeMO,2,FWD,BEV,4.2,160466
7958,Tata,USA,CA,Los Angeles,214,152.4,NiMH,210.4,742,231,Tesla Supercharger,5,FWD,BEV,3.9,165105
7959,BYD,India,Tamil Nadu,Chennai,205,93.1,NiMH,208.6,734,211,Tesla Supercharger,4,FWD,BEV,3.2,151404
7960,Hyundai,UK,England,Manchester,295,103.1,Solid-State,196.8,676,347,CHAdeMO,6,FWD,BEV,3.2,169776
7961,Volkswagen,UK,England,London,183,124.7,NiMH,181.8,509,134,Tesla Supercharger,6,RWD,BEV,4.6,183708
7962,BMW,Germany,Bavaria,Munich,292,179.1,NiMH,201.8,537,107,Tesla Supercharger,4,FWD,BEV,4.7,168258
7963,Volkswagen,Australia,Queensland,Brisbane,234,195.6,Solid-State,213.3,716,263,CHAdeMO,5,RWD,BEV,4.5,186689
7964,Volkswagen,USA,NY,New York,291,78,Solid-State,193.1,760,164,CCS,6,FWD,BEV,4.3,169292
7965,Nissan,UK,England,Birmingham,280,150.7,NiMH,198.7,596,321,Tesla Supercharger,5,FWD,BEV,4.2,180367
